type;ident;lat;long;y_proj;x_proj;ingreso_economico;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime
TRACK;1.24.1-1; ; ;-1.516416327;20763369.87;B; ; ; ; ; ; ; ; ; ; 
TRACK;1.24.1-1;-16.44714224;-71.60025413;-1945932.135;2830446.589;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-1;-16.44736802;-71.60048608;-1945955.727;2830417.364;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-1;-16.44743099;-71.60038486;-1945964.394;2830428.012;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-1;-16.44775696;-71.60046168;-1946001.7;2830415.058;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-1;-16.44791401;-71.59998247;-1946026.17;2830467.307;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-1;-16.44726798;-71.59952388;-1945956.088;2830527.693;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-1;-16.44758792;-71.59862217;-1946005;2830625.691;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-1;-16.44775407;-71.59865459;-1946024.101;2830619.851;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-1;-16.44777905;-71.59848869;-1946029.121;2830638.323;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-1;-16.44768168;-71.59846886;-1946017.937;2830641.841;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-1;-16.44773851;-71.59807905;-1946029.516;2830685.267;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-1;-16.44761987;-71.59806502;-1946015.762;2830688.404;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-1;-16.44753096;-71.59838953;-1946001.239;2830652.795;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-1;-16.44749228;-71.59857067;-1945994.418;2830632.774;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-1;-16.44732722;-71.59910019;-1945968.374;2830574.928;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-1;-16.44718887;-71.5994935;-1945947.182;2830532.167;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-1;-16.44701702;-71.59975422;-1945923.722;2830504.866;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-1;-16.44687723;-71.59998194;-1945904.444;2830480.887;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-1;-16.44666207;-71.60026244;-1945875.653;2830451.908;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-1;-16.4466581;-71.60041183;-1945873.307;2830435.034;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-1;-16.44672826;-71.60064061;-1945878.666;2830408.196;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-2; ; ;-1.516416327;20763369.87;B; ; ; ; ; ; ; ; ; ; 
TRACK;1.24.1-2;-16.4467506;-71.60011466;-1945887.906;2830467.5;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-2;-16.44694732;-71.59976798;-1945915.366;2830504.215;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-2;-16.44709792;-71.59954088;-1945935.906;2830527.985;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-2;-16.4472594;-71.59915295;-1945959.747;2830569.834;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-2;-16.44739818;-71.59877665;-1945980.778;2830610.662;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-2;-16.44758792;-71.59800006;-1946012.828;2830696.182;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-2;-16.44648622;-71.59801116;-1945883.333;2830709.291;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-2;-16.44639761;-71.59819158;-1945870.658;2830690.003;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-2;-16.44624372;-71.59831825;-1945850.996;2830677.656;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-2;-16.44594852;-71.5985087;-1945813.938;2830659.926;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-2;-16.44617972;-71.59882245;-1945837.136;2830621.36;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-2;-16.44626065;-71.59895573;-1945844.961;2830605.203;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-2;-16.44634539;-71.59907724;-1945853.382;2830590.33;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-2;-16.44649582;-71.59931647;-1945868.034;2830561.263;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-2;-16.44665227;-71.60022211;-1945875.009;2830456.606;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-3; ; ;-1.516416327;20763369.87;B; ; ; ; ; ; ; ; ; ; 
TRACK;1.24.1-3;-16.4463841;-71.59811191;-1945870.074;2830699.207;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-3;-16.4464238;-71.59795829;-1945876.669;2830716.095;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-3;-16.44642847;-71.59766943;-1945880.852;2830748.764;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-3;-16.44641846;-71.59740949;-1945882.947;2830778.349;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.24.1-3;-16.4464676;-71.5971231;-1945892.321;2830810.159;B;False; ; ;0; ; ; ; ; ; 
